   2,   0,  64,   0,       0
   2,   0,  64,   0,     180
   1,  60,  64,   0,     162
   2,  60,   0,   0,      18
   1,  62,  64,   0,     162
   2,  62,   0,   0,      18
   1,  64,  64,   0,     162
   2,  64,   0,   0,      18
   1,  65,  64,   0,     162
   2,  65,   0,   0,      18
   1,  62,  64,   0,     162
   2,  62,   0,   0,      18
   1,  64,  64,   0,     162
   2,  64,   0,   0,      18
   1,  60,  64,   0,     162
   2,  60,   0,   0,      18
   1,  67,  64,   0,       0
   2,   0,  64,   0,     180
   1,  48,  64,   0,     144
   2,  67,   0,   0,      18
   2,  48,   0,   0,      18
   1,  72,  64,   0,       0
   1,  50,  64,   0,     162
   2,  50,   0,   0,      18
   1,  52,  64,   0,     144
   2,  72,   0,   0,      18
   2,  52,   0,   0,      18
   1,  71,  64,   0,       0
   1,  53,  64,   0,      81
   2,  71,   0,   0,       9
   1,  69,  64,   0,      72
   2,  53,   0,   0,       9
   2,  69,   0,   0,       9
   1,  71,  64,   0,       0
   1,  50,  64,   0,     162
   2,  71,   0,   0,       0
   2,  50,   0,   0,      18
   1,  72,  64,   0,       0
   1,  52,  64,   0,     162
   2,  52,   0,   0,      18
   1,  48,  64,   0,     144
   2,  72,   0,   0,      18
   2,  48,   0,   0,      18
   1,  74,  64,   0,       0
   1,  55,  64,   0,     162
   2,  74,   0,   0,      18
   1,  67,  64,   0,     144
   2,  55,   0,   0,      18
   2,  67,   0,   0,      18
   1,  69,  64,   0,       0
   1,  43,  64,   0,     162
   2,  69,   0,   0,      18
   1,  71,  64,   0,     144
   2,  43,   0,   0,      18
   2,  71,   0,   0,      18
   1,  72,  64,   0,       0
   2,   0,  64,   0,     162
   2,  72,   0,   0,      18
   1,  69,  64,   0,     162
   2,  69,   0,   0,      18
   1,  71,  64,   0,     162
   2,  71,   0,   0,      18
   1,  67,  64,   0,     162
   2,  67,   0,   0,      18
   1,  74,  64,   0,       0
   2,   0,  64,   0,     180
   1,  55,  64,   0,     144
   2,  74,   0,   0,      18
   2,  55,   0,   0,      18
   1,  79,  64,   0,       0
   1,  57,  64,   0,     162
   2,  57,   0,   0,      18
   1,  59,  64,   0,     144
   2,  79,   0,   0,      18
   2,  59,   0,   0,      18
   1,  77,  64,   0,       0
   1,  60,  64,   0,      81
   2,  77,   0,   0,       9
   1,  76,  64,   0,      72
   2,  60,   0,   0,       9
   2,  76,   0,   0,       9
   1,  77,  64,   0,       0
   1,  57,  64,   0,     162
