   1,  75,  48,   0,       0
   1,  79,  48,   0,       0
   1,  94,  48,   0,       0
   1,  51,  48,   0,     240
   2,  51,   0,   0,      27
   1,  63,  48,   0,     240
   2,  63,   0,   0,      27
   1,  51,  48,   0,     240
   2,  51,   0,   0,      27
   1,  55,  48,   0,       0
   1,  58,  48,   0,     160
   2,  75,   0,   0,       0
   2,  79,   0,   0,       0
   2,  94,   0,   0,      80
   2,  55,   0,   0,       0
   2,  58,   0,   0,      27
   1,  79,  48,   0,       0
   1,  82,  48,   0,       0
   1,  84,  48,   0,       0
   1,  51,  48,   0,     240
   2,  51,   0,   0,      27
   1,  55,  48,   0,     240
   2,  55,   0,   0,      27
   1,  58,  60,   0,     240
   2,  58,   0,   0,      27
   1,  63,  60,   0,       0
   1,  58,  60,   0,     160
   2,  79,   0,   0,       0
   2,  82,   0,   0,       0
   2,  84,   0,   0,      80
   2,  63,   0,   0,       0
   2,  58,   0,   0,      27
   1,  85,  64,   0,       0
   1,  89,  64,   0,       0
   1,  94,  64,   0,       0
   1,  58,  80,   0,     240
   2,  58,   0,   0,      27
   1,  70,  64,   0,     240
   2,  70,   0,   0,      27
   1,  58,  64,   0,     240
   2,  58,   0,   0,      27
   1,  58,  80,   0,       0
   1,  53,  80,   0,     160
   2,  85,   0,   0,       0
   2,  89,   0,   0,       0
   2,  94,   0,   0,      80
   2,  58,   0,   0,       0
   2,  53,   0,   0,      27
   1,  73,  64,   0,       0
   1,  77,  64,   0,       0
   1,  80,  64,   0,       0
   1,  84,  64,   0,       0
   1,  58,  64,   0,     160
   2,  58,   0,   0,      18
   1,  58,  64,   0,      80
   2,  58,   0,   0,       9
   1,  56,  80,   0,     160
   2,  56,   0,   0,      18
   1,  56,  64,   0,      80
   2,  56,   0,   0,       9
   1,  55,  64,   0,     240
   2,  55,   0,   0,      27
   1,  53,  80,   0,     160
   2,  73,   0,   0,       0
   2,  77,   0,   0,       0
   2,  80,   0,   0,       0
   2,  84,   0,   0,      80
   2,  53,   0,   0,      27
   2,   0,  48,   0,       0
   1,  79,  36,   0,       0
   1,  94,  36,   0,       0
   1,  70,  80,   0,       0
   1,  39,  48,   0,     240
   2,  39,   0,   0,      27
   1,  43,  64,   0,     180
   2,  43,   0,   0,      20
   1,  43,  64,   0,      60
   2,  43,   0,   0,       7
   1,  46,  48,   0,     240
   2,  46,   0,   0,      27
   1,  46,  64,   0,     160
   2,  79,   0,   0,       0
   2,  94,   0,   0,      20
   2,  46,   0,   0,      20
   1,  46,  64,   0,      60
   2,  46,   0,   0,       7
   1,  84,  48,   0,       0
   1,  79,  36,   0,       0
   1,  82,  36,   0,       0
   1,  39,  64,   0,     240
   2,  39,   0,   0,      27
   1,  46,  48,   0,     180
   2,  46,   0,   0,      20
   1,  46,  48,   0,      13
   2,  84,   0,   0,      47
   2,  46,   0,   0,       7
   1,  86,  48,   0,       0
   1,  43,  64,   0,     187
   2,  70,   0,   0,      53
   2,  86,   0,   0,       0
   2,  43,   0,   0,      27
   1,  84,  48,   0,       0
   1,  67, 100,   0,       0
   1,  39,  80,   0,     160
   2,  79,   0,   0,       0
   2,  82,   0,   0,      20
   2,  39,   0,   0,      20
   1,  39,  80,   0,      40
   2,  84,   0,   0,       0
   2,  67,   0,   0,      20
   2,  39,   0,   0,       7
   1,  94,  36,   0,       0
   1,  70,  36,   0,       0
   1,  73,  36,   0,       0
   1,  77,  36,   0,       0
   1,  65, 100,   0,       0
   1,  37,  80,   0,     360
   2,  37,   0,   0,      40
   1,  37,  80,   0,      80
   2,  94,   0,   0,      40
   2,  37,   0,   0,      13
   1,  84,  36,   0,       0
   1,  41,  80,   0,     240
   2,  84,   0,   0,       0
   2,  41,   0,   0,      27
   1,  82,  36,   0,       0
   1,  46,  64,   0,     160
   2,  70,   0,   0,       0
   2,  73,   0,   0,       0
   2,  77,   0,   0,      80
   2,  82,   0,   0,       0
   2,  46,   0,   0,      27
   1,  84,  48,   0,       0
   1,  70,  48,   0,       0
   1,  73,  48,   0,       0
   1,  77,  48,   0,       0
   1,  80,  48,   0,       0
   1,  41,  64,   0,     180
   2,  41,   0,   0,      20
   1,  41,  64,   0,      60
   2,  41,   0,   0,       7
   1,  46,  64,   0,     240
   2,  46,   0,   0,      27
   1,  48,  64,   0,     187
   2,  65,   0,   0,      53
   2,  48,   0,   0,      27
   2,   0,  80,   0,       0
   1,  46,  64,   0,     160
   2,  84,   0,   0,       0
   2,  70,   0,   0,       0
   2,  73,   0,   0,       0
